wavelength,flux
1150.0,1.4101945305933228e-11
1155.0,1.9948291282712027e-11
1160.0,1.5475908748951994e-11
1165.0,3.0887068076801416e-12
1170.0,1.6182416734747407e-13
1175.0,5.696453508549637e-13
1180.0,3.783448814659307e-12
1185.0,2.835569452852571e-12
1190.0,3.768658833353672e-13
1195.0,4.445916562418467e-13
1200.0,4.214296012855501e-12
1205.0,1.63751946030688e-11
1210.0,5.279719023087992e-11
1215.0,8.342723040177802e-11
1220.0,5.569779013003817e-11
1225.0,1.471224184146358e-11
1230.0,2.3709649694947377e-12
1235.0,1.328163815907113e-12
1240.0,1.1581648183892068e-12
1245.0,8.104906177620885e-13
1250.0,6.300798641514782e-13
1255.0,6.242728773156458e-13
1260.0,5.347769210968523e-13
1265.0,7.575267046673953e-14
1270.0,3.726739647132507e-14
1275.0,3.6088767065879657e-13
1280.0,9.894934264315092e-13
1285.0,9.198969710966232e-13
1290.0,2.9974408914147654e-13
1295.0,2.4736904690424166e-13
1300.0,4.779553489098198e-13
1305.0,1.3256954670311238e-13
1310.0,4.612997809259889e-13
1315.0,8.588941190212918e-13
1320.0,7.150270501556089e-13
1325.0,5.138005906152321e-13
1330.0,6.514990370104501e-13
1335.0,5.556861936741042e-13
1340.0,2.346886248706659e-13
1345.0,8.333014589771356e-14
1350.0,2.8544460089867385e-13
1355.0,5.348052187735541e-13
1360.0,6.60614900456491e-13
1365.0,7.695144434854972e-13
1370.0,5.67199444963945e-13
1375.0,7.625773385151746e-13
1380.0,9.59776962766723e-13
1385.0,8.240217861353594e-13
1390.0,3.8834666277014207e-13
1395.0,7.1698305929499e-13
1400.0,1.0614313247780949e-12
1405.0,1.3504586988608014e-12
1410.0,1.1068021499305303e-12
1415.0,3.761200606609144e-13
1420.0,9.604215887209014e-14
1425.0,4.73055242981163e-13
1430.0,8.982671377555373e-13
1435.0,8.235631144062894e-13
1440.0,1.3448647577518624e-12
1445.0,2.3426067943116413e-12
1450.0,1.9803264930673414e-12
1455.0,1.0599918295536859e-12
